inc.first,inc.last,inc.elected,inc.birth,gender,ethnicity,religion,open.lgbtq
Scott,Peters,2012,1958,Man,White - Non-Hispanic,Lutheran,No
Collin,Peterson,1990,1944,Man,White - Non-Hispanic,Lutheran,No
Chellie,Pingree,2008,1955,Woman,White - Non-Hispanic,Lutheran,No
Robert,Pittenger,2012,1948,Man,White - Non-Hispanic,Pentecostal,No
Mark,Pocan,2012,1964,Man,White - Non-Hispanic,Unspecified,Gay
Ted,Poe,2004,1948,Man,White - Non-Hispanic,Churches of Christ,No
Bruce,Poliquin,2014,1953,Man,White - Non-Hispanic,Roman Catholic,No
Jared,Polis,2008,1975,Man,White - Non-Hispanic,Jewish,Gay
Bill,Posey,2008,1947,Man,White - Non-Hispanic,Methodist,No
David,Price,"1996, 1986-1994",1940,Man,White - Non-Hispanic,Baptist,No
Mike,Quigley,2008,1959,Man,White - Non-Hispanic,Roman Catholic,No
Jamie,Raskin,2016,1962,Man,White - Non-Hispanic,Jewish,No
John,Ratcliffe,2014,1965,Man,White - Non-Hispanic,Roman Catholic,No
Tom,Reed,2010 Special,1971,Man,White - Non-Hispanic,Roman Catholic,No
Dave,Reichert,2004,1950,Man,White - Non-Hispanic,Lutheran,No
Jim,Renacci,2010,1958,Man,White - Non-Hispanic,Roman Catholic,No
Kathleen,Rice,2014,1965,Woman,White - Non-Hispanic,Roman Catholic,No
Tom,Rice,2012,1957,Man,White - Non-Hispanic,Episcopalian,No
Cedric,Richmond,2010,1973,Man,Black - African-American,Baptist,No
Martha,Roby,2010,1976,Woman,White - Non-Hispanic,Presbyterian,No
Phil,Roe,2008,1945,Man,White - Non-Hispanic,Methodist,No
Hal,Rogers,1980,1937,Man,White - Non-Hispanic,Southern Baptist,No
Mike,Rogers,2002,1958,Man,White - Non-Hispanic,Baptist,No
Dana,Rohrabacher,1988,1947,Man,White - Non-Hispanic,Baptist,No
Todd,Rokita,2010,1970,Man,White - Non-Hispanic,Roman Catholic,No
Francis,Rooney,2016,1953,Man,White - Non-Hispanic,Roman Catholic,No
Tom,Rooney,2008,1970,Man,White - Non-Hispanic,Roman Catholic,No
Jacky,Rosen,2016,1957,Woman,White - Non-Hispanic,Jewish,No
Peter,Roskam,2006,1961,Man,White - Non-Hispanic,Anglican,No
Ileana,Ros-Lehtinen,1988,1952,Woman,Hispanic - Cuban,Episcopalian,No
Dennis,Ross,2010,1959,Man,White - Non-Hispanic,Presbyterian,No
Keith,Rothfus,2012,1962,Man,White - Non-Hispanic,Roman Catholic,No
David,Rouzer,2014,1972,Man,White - Non-Hispanic,Southern Baptist,No
Lucille,Roybal-Allard,1992,1941,Woman,Hispanic - Mexican,Roman Catholic,No
Ed,Royce,1992,1951,Man,White - Non-Hispanic,Roman Catholic,No
Raul,Ruiz,2012,1972,Man,Hispanic - Mexican,Seventh-day Adventist Church,No
Dutch,Ruppersberger,2002,1946,Man,White - Non-Hispanic,Methodist,No
Bobby,Rush,1992,1946,Man,Black - African-American,Baptist,No
Steve,Russell,2014,1963,Man,White - Non-Hispanic,Southern Baptist,No
John,Rutherford,2016,1952,Man,White - Non-Hispanic,Roman Catholic,No
Paul,Ryan,1998,1970,Man,White - Non-Hispanic,Roman Catholic,No
Tim,Ryan,2002,1973,Man,White - Non-Hispanic,Roman Catholic,No
Linda,Sánchez,2002,1969,Woman,Hispanic - Mexican,Roman Catholic,No
Mark,Sanford,"2013 Special, 1994-2000",1960,Man,White - Non-Hispanic,Episcopalian,No
John,Sarbanes,2006,1962,Man,White - Non-Hispanic,Eastern Orthodox,No
Steve,Scalise,2008 Special,1965,Man,White - Non-Hispanic,Roman Catholic,No
Jan,Schakowsky,1998,1944,Woman,White - Non-Hispanic,Jewish,No
Adam,Schiff,2000,1960,Man,White - Non-Hispanic,Jewish,No
Brad,Schneider,2016,1961,Man,White - Non-Hispanic,Jewish,No
Kurt,Schrader,2008,1951,Man,White - Non-Hispanic,Episcopalian,No
David,Schweikert,2010,1962,Man,White - Non-Hispanic,Roman Catholic,No
Austin,Scott,2010,1969,Man,White - Non-Hispanic,Southern Baptist,No
Bobby,Scott,1992,1947,Man,Black - African-American,Episcopalian,No
David,Scott,2002,1946,Man,Black - African-American,Baptist,No
Jim,Sensenbrenner,1978,1943,Man,White - Non-Hispanic,Episcopalian,No
